,key_words_rak,key_words_tf_idf,titles,keywords_intext,year,final_keywords
177,,"features,group,task,experimentation,collaborative,solved,tasks,inquiry,mutual,orientation,generation,values,performance,understanding,topic",Reassembling Home-work: Mixing “Newer” and “Older”,,2018,"set(['mut', 'task', 'group', 'ory', 'inquir', 'top', 'expery', 'collab', 'perform', 'understand', 'solv', 'feat', 'gen', 'valu'])"
178,"automated key word coding process,identifies domainspecific epistemic frame elements,moving stanza window method identified,engineering epistemic frame coding scheme,stanza window methods separately models,moving stanza window method creates,moving stanza window method shows,moving stanza window produced connections,moving stanza window method show,moving stanza method slides,conducted parallel qualitative analyses,moving stanza window method,moving stanza window models,moving stanza window model,engineering epistemic frame elements","museum,family,space,transcripts,movement,engagement,hall,figure,conversation,spaces,interaction,display,exhibit,time,paths",Reflective Structuration of Knowledge Building Practices in,,2017,"set(['exhibit', 'hal', 'conv', 'eng', 'spac', 'interact', 'mov', 'muse', 'transcrib', 'tim', 'fig', 'famil', 'path', 'display'])"
179,"definition digital video camera capturing,colored tags identify groups,national science education standards,horizontally oriented digital surfaces,assigning children interdependent roles/ tools,roles condition lasted significantly longer,children reported generally high levels,digitally augmented physical objects,research team members administered,extensive prior experience collaborating,positive finding amidst concerns,dependent variables included measures,forty 5th grade children,class gender ratio necessitated,youtopia gameplay sessions lasted","food,species,population,interaction,web,day,groups,predictions,relationships,correct,modeling,models,effects,performing,explanations",Mixing In-Class and Online Learning: Content Meta-Analysis of,,2015,"set(['web', 'perform', 'group', 'food', 'interact', 'effect', 'pop', 'day', 'predict', 'rel', 'expl', 'correct', 'model', 'spec'])"
180,"young people accomplishing routine tasks,avid pokémon fans,pokémon deluxe handbook,young people accomplish assigned tasks,video recorded observations conducted,routine tasks young people,entire home floor plan,bother examining physical spaces,practices reassemble families everyday home,assigned tasks occupy children working,work activity literally spread,families “daily media rounds”,time young people spend,coarticulation requires hybrid paper,culturally valued technical opportunities","leadership,relational,children,thinking,moves,organizational,emergent,intellectual,collaborative,reasoning,regulation,group,big,discussions,coding",The Influence of Students’ Transformative and Non-Transformative,"child leadership, relational thinking, collaborative learning, development, Collaborative",2018,"set(['reg', 'childr', 'intellectu', 'develop', 'rel', 'lead', 'big', 'discuss', 'collab', 'child leadership', 'cod', 'reason', 'emerg', 'group', 'collaborative learn', 'org', 'think', 'mov', 'relational think'])"
181,"epistemic mechanism enabling sustained practices,online collaborative knowledge building platform,purposeful knowledge building work supported,community coconstruct adaptive collective structures,simply enact repeated procedures,computer supported collaborative learning,practical challenge arises pertaining,knowledge building pedagogy supported,based study investigated reflective structuration,knowledge building communities revealed,framed similar overarching goals,big “juicy” questions based,kids categorized individual questions,world knowledge building practices,capture productive discourse patterns","collective,cells,itm,brain,blood,goals,body,system,notes,inquiry,online discourse,human,discourse,knowledge building,knowledge",Making Engagement Visible:,"knowledge building, long-term trajectory, socially shared regulation, collective goals,",2017,"set(['long-term trajectori', 'socially shared regul', 'knowledg', 'disco', 'collect', 'collective go', 'knowledge build', 'goal'])"
182,"inconsistent definitions make comparing results,asynchronous online courses performed slightly,reasons flipped blends improved learning,academic search complete databases,typically add additional application activities,applying content helps students learn,effectively identify incorrect thinking,mixed method courses improved learning,american higher education institutions,reported improved learning outcomes argued,reported equivalent outcomes asked students,face courses performed slightly,courses continued application activities online,consistently improved learning outcomes,mixed method courses categorized","particles,embodiment,particle,matter,state,water,embodied,interview,ct,energy,codes,movement,post,familiar,hands",Learning to Model Ecosystems With Interaction Food Webs,"embodiment, assessments, multi-modality, young children, interviews",2017,"set(['partic', 'stat', 'young children', 'mat', 'embod', 'multi-mod', 'mov', 'assess', 'energ', 'famili', 'interview', 'cod', 'post', 'wat', 'hand', 'ct'])"
183,"conducting typical collaborative inquiry tasks,low engagement group developed vague,machine learning model construction involves,built accurate machine learning models,utterances influence collaborative inquiry learning,transformative learning processes predicts groups,based collaborative inquiry learning environment,collaborative inquiry learning manifests,inform instructional design choices,liwc features + topic features,regulative learning processes include,de jong & van joolingen,supported collaborative inquiry learning,online collaborative inquiry learning,collaborative inquiry learning environment","video,video data,red,analytic,reliability,frameworks,units,transcript,phenomena,gesture,theoretical,representations,interactional,decisions,researcher",Children’s Emergent Leadership and Relational Thinking,"video, qualitative, methods, analysis, data representation",2017,"set(['rely', 'dec', 'phenomen', 'video data', 'interact', 'transcrib', 'theoret', 'repres', 'qualit', 'framework', 'unit', 'video', 'red', 'research', 'gest', 'analyt', 'analys', 'method', 'data represent'])"
184,"nationally renowned museum located,floor plan show repeated conversations,engagement simultaneously primarily due,groups “personally edit” gallery spaces,22 case studies captured continuous,workshop provided numerous opportunities,small gopro cameras worn,2 hour post visit interviews,exhibits featuring female artists,produce dense conversation “boxes”,fame rotunda gallery shows,bluegrass family primarily visits,engagement contours furthers marin,paper introduces mondrian transcripts,mondrian transcripts make processes","facebook,sns,teacher,argumentation,teachers,communication,teacher student,gat,social,sharing,script,attitude,formal,knowledge,social media","How Did a Grade 5 Community Formulate Progressive, Collective","teachers, social networking sites (SNS), professional development, learning",2015,"set(['shar', 'social media', 'soc', 'gat', 'knowledg', 'form', 'commun', 'attitud', 'social networking sites (sns)', 'argu', 'teacher stud', 'script', 'professional develop', 'facebook', 'sns', 'learn', 'teach'])"
185,"difficulty interpreting food web dynamics,interaction food webs software interface,software design supported model construction,missed core concepts learned,interaction food web represent feeding,trouble understanding single causal,private urban middle school,difficulties creating food webs,interaction food webs notation,final interaction food webs,technologysupported inquiry unit organized,aquarium construction toolkit modeling,underlying computational model developed,correctly explain population effects,interaction food web representation","evidence based,service teachers,pre service,pre service teachers,service,attitudes,reasoning,teachers,cognitive,evidence,advanced,sd,pedagogical,scripts,pre",Assessing Young Children’s Cognition,,2015,"set(['serv', 'adv', 'pre', 'evid', 'script', 'pre service teach', 'reason', 'pre servic', 'attitud', 'service teach', 'teach', 'cognit', 'evidence bas', 'pedagog', 'sd'])"
186,"students naturally develop essential skills,current dataset includes full transcripts,leadership moves helps groups produce,provide intellectually stimulating environments,current research speaks directly,teacher scaffolding influences children,teachers occasionally provide scaffolding,children developed emergent leadership skills,commonly occurring leadership moves,initial collaborative reasoning discussion based,computer supported collaborative discussions,intellectual leadership moves emerged,support productive social interactions,successful collaborative learning groups,big question discussion compared","programming,variables,scratch,cs,introductory,activities,digital,graphical,computing,block,story,concepts,like,math,exploration",Qualitative Analysis of Video Data: Standards and Heuristics,,2016,"set(['block', 'digit', 'comput', 'scratch', 'conceiv', 'expl', 'vary', 'stor', 'lik', 'program', 'graph', 'act', 'cs', 'introductor', 'math'])"
187,"centered dialogues involving multiple perspectives,goal formulation driving subsequent discourse,productive knowledge building requires students,extended knowledge building discourse visible,human body development group contributed,book kids infobits written,students investigated human body systems,highlighted conceptual advances achieved,recent research efforts strive,collective knowledge mapping tool,complete superficial task components”,sustained knowledge building requires,term knowledge building initiatives,collective goals guided student participation,blood circulation group noticed","failure,youth,making,boundary,contexts,views,perspective,negative,view,boundaries,sites,setting,across,context,activities",Teachers and Professional Development:,,2016,"set(['set', 'sit', 'neg', 'across', 'context', 'act', 'fail', 'you', 'perspect', 'mak', 'boundar', 'view'])"
188,"early elementary classroom contexts,embodied technologies supports transfer,targeted increasingly nuanced descriptions,structured interview video data,capture technology supports,ongoing technical innovation,evaluating young children,western public school,coding scheme structured,increasingly incorporating embodiment,2nd graders expressed,motion capture technology,interview protocol included,priori codes focusing,drops left hand","cps,collaboration,collaborative,dyads,dominant,interaction,scores,patterns,team,assessment,general,individuals,science,dyad,simulation",Evidence-based Reasoning of Pre-Service Teachers:,,2018,"set(['domin', 'individu', 'pattern', 'interact', 'collab', 'assess', 'scor', 'team', 'sci', 'dyad', 'cps', 'gen', 'sim'])"
189,"comprehensive data source—simultaneously capturing talk,focal students wearing visor cameras,keifert created multiple visual transcripts,boys wearing visor cameras,visual transcripts foreground analytical decisions,video data afford unique access,participants wearing visor cameras,adding arrows indicating dad,wider angle perspective cameras,researchers approach video analysis depends,“fuzzy” checks provided leverage,individual case studies exemplifying,employ distinct theoretical frameworks,school stem learning program,making analytical decisions explicit","epistemic agency,epistemic,agency,inquiry,youth,mr,moments,interactional,learners,members,power,participants,us,science,upon",Combining Non-Programming Activities With Programming for,,2018,"set(['epistem', 'epistemic ag', 'sci', 'ag', 'memb', 'inquir', 'pow', 'interact', 'learn', 'particip', 'us', 'mom', 'mr', 'you', 'upon'])"
190,"mastery learning goals predicted teenagers,typically emphasize closed learning environments,engineered facebook applications support discussion,supporting controversial cscl discussions,epistemic quality influences knowledge outcomes,promoting superficial learning strategies,address social network sites specifically,frequently encounter administrative messages,scripted groups surpass individuals,model adequate argumentative processes,commonly teach communication theories,organized sns shadow groups,105 german teacher trainees filled,teacher trainees gain deep knowledge,repeated measures anova showed","invention,guidance,coach,condition,transfer,solution,full,ratio,module,solutions,minimal,density,index,deep,items",“I’m Going to Fail”: How Youth Interpret Failure Across Contextual,,2018,"set(['index', 'coach', 'ratio', 'minim', 'inv', 'deep', 'item', 'densit', 'solv', 'condit', 'transf', 'guid', 'ful', 'mod'])"
191,,"feedback,quality,public,condition,arguments,revision,solution,peer review,writing,assignment,private,constructs,peer,comment,review",Collaborative Problem Solving: Innovating Standardized,,2017,"set(['feedback', 'review', 'rev', 'argu', 'construct', 'publ', 'qualit', 'peer', 'writ', 'solv', 'condit', 'peer review', 'com', 'assign', 'priv'])"
192,,"emotions,flow,partner,negative,cognitive,sense,experience,control,positive,related,self,dimensions,positively,correlations,collaboration",Epistemic Agency as a Members’ Experience,,2018,"set(['control', 'dim', 'neg', 'self', 'emot', 'flow', 'collab', 'partn', 'correl', 'rel', 'exper', 'posit', 'sen', 'cognit'])"
193,,"scripts,knowledge,knowledge building,scripting,script,building,external,internal,theory,symposium,markers,knowledge construction,collaboration,fischer,cscl",The Design and Evaluation of Optimal Computerized Guidance for,,2018,"set(['fisch', 'theor', 'sympos', 'script', 'knowledg', 'collab', 'mark', 'knowledge construct', 'intern', 'build', 'extern', 'cscl', 'knowledge build'])"
194,"post hoc tukey tests showed,assessment purposes concerns making sense,equivalent general science skill levels,21st century skills project,designed structured system prompts,log files detailing participants,dominant member takes control,content irrelevant social communications,general science knowledge test,based tasks offer opportunities,correlation coefficients showed differences,low general science knowledge,high general science knowledge,item general science test,highlight collaborative discursive patterns","policy,communities practice,pbl,science,teachers,district,ngss,communities,practice,events,practices,play,local,teacher,national",Public Peer Review Motivates Higher Quality Feedback,"science education, communities of practice, educational policy, taxonomy of learning",2018,"set(['play', 'loc', 'communities practic', 'ngss', 'sci', 'district', 'polic', 'educational polici', 'communit', 'science educ', 'pract', 'nat', 'pbl', 'teach', 'ev', 'communities of practic', 'taxonomy of learn'])"
195,"fundamentally influence subsequent inquiry pathways,observed middle school science classrooms,frequently experience school science spaces,contribution sparking renewed engagement,youthserving environmental education programs,potentially benign participation trajectories,critical historical perspective sensitizes,disrupt existing powered relations,existing stem participation frames,inclusive epistemic agency plays,examples illustrating young people,inclusive epistemic agency refers,middle school students oriented,make critical epistemic decisions,shape youth participation trajectories","children,gestures,evidence,smaller,explanations,evidence based,claim,science,practices,phases,modeling,gesture,representation,models,pointing",Flow in Computer-Supported Collaborative Problem-Solving,,2018,"set(['claim', 'childr', 'sci', 'evid', 'point', 'phas', 'repres', 'pract', 'expl', 'gest', 'model', 'evidence bas', 'smal'])"
196,"ranking activity occurred fairly frequently,coach avoids giving didactic explanations,experienced science teachers guiding students,related pedagogies boost conceptual learning,short video explaining task goals,de jong & van joolingen,invention process hindered learning compared,build intelligent tutoring systems,cognitive tutor authoring tools,paper test items targeted students,coach avoids giving direct,significant knowledge gap expressed,problematizing guidance effectively support learning,students require individual guidance,invention coach problematizes student understanding","competition,driver,robot,robotics,positioning,driving,coach,episode,team,power,space,episodes,interaction,year,past",Scripted and Unscripted Aspects of Creative Work With Knowledge,,2017,"set(['competit', 'coach', 'episod', 'spac', 'pow', 'interact', 'driv', 'year', 'robot', 'past', 'team', 'posit'])"
197,"amazon mechanical turk crowdsourcing platform,feedback prompt offers increased awareness,peer review paradigm—public peer,feedback receivers showed higher propensity,experimental study comparing feedback quality,traditional peer review scenarios,emphasizing community reduces drop,high internal validity experiments,massive open online courses,informing subsequent high external,remote individual work setting,public peer review paradigm,public peer review intervenes,high internal validity setting,independent variables include comment segment","design,co design,co,implementation,teachers,agency,practice,student,educational,partnership,badge,researchers,science,expansive,ngss",Science Teachers’ Communities of Practice and Policy,,2018,"set(['co design', 'co', 'exp', 'ag', 'ngss', 'partn', 'research', 'badg', 'pract', 'design', 'stud', 'sci', 'teach', 'educ', 'impl'])"
198,"person feels simultaneously cognitively efficient,solving video game called portal,correctly assess negative deactivating emotions,group members share relevant task,main research question concerns,group performance positively correlate,relational space dedicated,& van der puil,biosemi® electrophysiological system,point frequency scales,modelling negative deactivating emotions,item scale organized,point answer scale,individual training phase,require considerable skills","fuse,challenge,expertise,relative,agency,activity,challenges,stem,sequences,interests,student,classrooms,choice,choose,productive",Preschool-Age Children Practicing Science: Intersections of,"informal learning, self-directed learning, agency, relative expertise, situated learning",2018,"set(['classroom', 'stud', 'interest', 'fus', 'ag', 'choo', 'challeng', 'stem', 'rel', 'act', 'cho', 'produc', 'sequ', 'expert'])"
199,"primary grade class decided,institut für wissensmedien,configured internal collaboration script components,flexibly adaptive group supports facilitating,thing mature research teams,report empirical results partly,distinctly 21st century challenge,rigid cognitive structure resulting,marlene scardamalia invented csile,organizing process par excellence,outputs topically relevant information,suitable internal scriptlet components,productive internal script components,networked collaborative learning environment,knowledge media research center","expert,learner,pilot,network,child,posttest,nodes,actions,pretest,activity,speed,instrument,talk,action,instruments",Social Positioning Newcomer Roles on a High School Robotics,"activity theory, distributed cognition, situated learning, social network analysis",2018,"set(['network', 'posttest', 'nod', 'learn', 'act', 'expert', 'instru', 'child', 'spee', 'pretest', 'talk', 'pilot'])"
200,"small group side conversations,developing “21st century skills”,influences instructional practices relating,multiple boundary interactions teachers,research informs policy making,brighton school district provided teachers,teachers crafted informal learning,minimized teachers productive play,local level science organizations,science teachers expose teachers,teachers mediate reading policy,high school science teacher,district professional development schedule,educational policies enter schools,participating science teachers engaged","sciencekit,inquiry,learners,peer,facilitators,day,connected,interests,entries,interest,scientific inquiry,posts,facilitator,connect,driven",Researchers and Practitioners Co-Designing for Expansive,"connected learning, educational technology, social media, science inquiry",2016,"set(['sciencekit', 'scientific inquiri', 'inquir', 'driv', 'entr', 'facilit', 'interest', 'learn', 'peer', 'post', 'day', 'connect'])"
201,"literature articulating science practices frameworks,spatial pointing gestures convey location,moon phase matching workshops,moon phase matching workshop,creating craters workshop began,selected activities engaged children,monteira & jiménez,existing classification schemes,present exemplar episodes,ball moved quickly,young learners begin,record multiple angles,initially selected based,moon phase matching,limited research characterizes","game,roles,past,level,assigned,levels,play,ratio,interdependence,engagement,completion,games,complete,must,probability",FUSE: An Alternative Infrastructure for,,2016,"set(['play', 'rol', 'level', 'eng', 'prob', 'past', 'gam', 'interdepend', 'ratio', 'must', 'assign', 'complet'])"
202,,"ideas,critique,solar,idea,peer,group,add,item,reflect,activity,groups,give,take,new ideas,design",Using Situated-Action Networks to Visualize Complex Learning,"science, engineering, peer critique, technology, knowledge integration",2015,"set(['giv', 'group', 'ad', 'item', 'sol', 'new idea', 'reflect', 'peer', 'design', 'act', 'crit', 'ide', 'tak'])"
203,"cooperation involves taking programmatic action,asked current ninth grade students,units foregrounding student agency yield,engage investigate complex ecological change,complex ecological systems connected,positively influence student affect,based implementation leads quickly,case study offers insights,rigorous academic learning goals,sustainable change demands engagement,setting pedagogical learning goals,refine existing instructional materials,transforming student learning experiences,work supports human capacity,study expand recent work","discourse,maker,mentor,youth,mentors,engineering,like,design,session,disciplinary,boys,engineering design,thing,aligned,shape",Navigating Connected Inquiry Learning with ScienceKit,,2015,"set(['boy', 'sess', 'engineering design', 'engin', 'ment', 'align', 'shap', 'lik', 'thing', 'disciplinar', 'design', 'mak', 'disco', 'you'])"
204,"employed iterative interaction analysis methods,images include numerous student pairs,gröhn & engeström,fuse challenges afford multiple solutions,video showing diverse learning arrangements,larger dots representing higher,sixth grade classrooms offering fuse,regulate acceptable activity structures,existing learning sciences literature,traditional math class activity system,participatory learning structures embedded,general pedagogical design philosophy,describing key design elements,removing traditional classroom structures,future stem learning endeavors","ecosystem,species,investigation,student groups,claim,representations,scientific,visual representations,presentations,visual,evidence,health,explanations,groups,student",Exploring Student Engagement in an Augmented Reality Game,,2017,"set(['claim', 'investig', 'sci', 'evid', 'ecosystem', 'heal', 'student group', 'repres', 'vis', 'group', 'stud', 'expl', 'visual represent', 'spec', 'pres'])"
205,"disconnected preand posttest difference scores,construct generalizable learning claims,incorporate relevant interactional information,total implementation lasted 2 hours,volunteer graduate student friends,ways simple causation models,visualization tool called situated,rapid eye movement,principal component scores,mutually constitutive parts,grounded qualitative codes,providing direct assistance,graduate student takes,based learning environments,fluid perceptual representation","teachers,pd,teacher,ms,ngss,student,year,lesson,whole class,professional development,instructional,class,lessons,okay,discourse",Examining the Flow of Ideas During Critique Activities in a Design,,2017,"set(['instruct', 'okay', 'pd', 'class', 'ngss', 'professional develop', 'stud', 'whole class', 'ms', 'year', 'teach', 'disco', 'lesson'])"
206,"tools offer personally relevant modes,mobile technologies hold great potential,social media app called sciencekit,sciencekit social media ios™ app,analyzed learner generated data gathered,identify scientific practices learners exhibited,imitating pop culture references,environment ensured full participation,traditional disciplinary learning venues,current science camp setting,connected learning framework guides,connected learning framework aspires,connected learning framework underscores,earlier comment allen made,learners navigate connected learning paths","argumentation,knowledge building,kf,knowledge,idea,collaborative,group,instruction,centered,control group,arguments,experimental,building,knowledge forum,behavioral",Engineering Discourse Development in an Informal YouthDriven Maker Club,,2018,"set(['knowledge forum', 'knowledge build', 'group', 'kf', 'knowledg', 'collab', 'cent', 'argu', 'instruct', 'expery', 'build', 'ide', 'behavy', 'control group'])"
207,,"knowledge,teachers,knowledge building,graduate,capacity,factors,practice,sciences,teacher,literacy,decision,learning sciences,building,practitioners,high",The Role of Visual Representations Within the,"research valorization, impact, DBR, RDD, teacher community",2017,"set(['dec', 'sci', 'knowledg', 'capac', 'high', 'practit', 'pract', 'build', 'gradu', 'learning sci', 'teach', 'knowledge build', 'literac', 'fact'])"
208,"curriculum module entitled solar ovens,students feel comfortable sharing ideas,construction paper costs $2/sheet,tin foil flaps bigger,underlying knowledge integration framework,middle school design activities,based inquiry science environment,elicit initial student ideas,solar ovens curriculum outline,make science concepts central,successful critique activity students,students develop meaningful plans,solve meaningful problems,design revisions students receive,knowledge integration framework","engineers,exhibit,engineering,instrument,treatment,children,control,drawings,awareness,rubric,informal,control group,things,differences,significant differences",Patterns of Classroom Talk Through Participation in DiscourseFocused Teacher Professional Development,,2018,"set(['exhibit', 'control', 'childr', 'engin', 'thing', 'tre', 'draw', 'significant differ', 'inform', 'instru', 'aw', 'rubr', 'diff', 'control group'])"
209,"digital fabrication techniques received,ended interest driven maker projects,studies showed increased interest,find adult mentors suited,young people develop disciplinary discourse,maker experience showed greater,“creepy” cymbal banging monkey,literature examines maker spaces,engineering design discourse develops,movie toy story 3,recently gained traction,professional engineering design discourse,specific design process stage,retired electrical engineer,differentiating broad types","parents,children,staff,community,parent,platform,identity,site,membership,child,themes,practice,social,program,supportive",A Preliminary Study of University Students’ Collaborative Learning,"Parenting, Community of Practice, Social Learning, Online Communities",2017,"set(['program', 'par', 'sit', 'support', 'memb', 'childr', 'platform', 'pract', 'them', 'child', 'soc', 'staff', 'id', 'communit'])"
210,"sixth grade “understanding life systems,data sources including provincial curriculum,grade 5/6 classes participated,share newly emerging ideas,technology designs included cer specific,established knowledge building practices,time student groups made reference,students investigate ecological concepts,student group enlarges media,design team included scaffolds,food web relationship diagrams,construct complex scientific understandings,student groups made reference,visual representations including system,abiotic characteristics including temperature","children,primary,argumentation,experiments,school,strategy,right,answer,strategies,reasoning,experiment,often,scientific,answers,correct",Realizing Research-Practice Connections:,,2016,"set(['childr', 'right', 'sci', 'school', 'argu', 'reason', 'oft', 'primar', 'exper', 'answ', 'correct', 'strategi'])"
211,"revise existing instructional units presented,writing detailed lesson plans,discussing discrepant code assignments,inference discourse observation protocol,ngss pose significant challenges,teachers learn productive talk moves,framed subsequent instructional activities,“primates” completed tasks faster,told key science concepts,pd staff pushed teachers,science practice entails talking,high school teachers participating,complete tasks faster,dedicated staff experienced,averaging 46 minutes apiece","graphs,fig,cross,joint,group,visual,eye,attention,graph,eye tracking,dyads,joint attention,groups,tracking,learning gains",The Impact of a Lego Exhibit on Awareness of the Roles and,"joint visual attention, collaborative learning, dual eye-trackers",2016,"set(['eye track', 'group', 'joint', 'track', 'graph', 'cross', 'vis', 'joint at', 'ey', 'fig', 'learning gain', 'dyad', 'at'])"
212,"ideacentered collaboration argumentation learning activities,chronologically ordered behaviors including,based ssi argumentation learning activities,group member possesses equal,collaborative argumentation learning processes,collaborative argumentation behavior patterns,groups revealed significant collaborative argumentation,collaborative argumentation learning activities,knowledge building behavior patterns,based argumentation learning activities,knowledge building core principles,collaborative argumentation behavioral patterns,highly controversial ssi topic,based collaborative argumentation contexts,centered collaborative argumentation instruction","lesson,teachers,step,students learning,learner,simulation,plan,subject,learning processes,processes,table,workshop,tools,plans,proportion",‘I Think It's Kind of Made Everybody a Little Closer:’ A Virtual,,2018,"set(['learning process', 'process', 'tool', 'tabl', 'step', 'workshop', 'plan', 'learn', 'lesson', 'proport', 'students learn', 'teach', 'sim', 'subject'])"
213,"educational designers wield powerful influence,issues remain highly pertinent today,foreground weighing multiple options based,outreach work takes place primarily,people learn remains extremely limited,time required “case studies” demonstrating,helping learning scientists conceptualize,transdisciplinary partnerships involving individuals,case represent embedded units,effectively foster intended outcomes,shaping fruitful researchpractice interactions,synergies underlying rdd efforts,practice interaction involves translation,typically underattended learning goals,early positive findings related","science practices,practices,science,teachers,mr,practice,support,explanations,interpreting,constructing,scientific,guidance,teacher,classroom,discussing",How Do Kindergarten and Primary School Children Justify Their,"science teaching, science practices, teachers as learners",2018,"set(['classroom', 'guid', 'sci', 'support', 'expl', 'construct', 'teachers as learn', 'pract', 'mr', 'teach', 'science practic', 'science teach', 'discuss', 'interpret'])"
214,,"turning,understanding,points,micro,segment,experimental,segments,level,correct,observations,incorrect,idea,regarding,coding,computer",Detecting Collaborative Dynamics Using Mobile Eye-Trackers,"conceptual change, collaborative learning, science education, turning points, pivotal",2018,"set(['point', 'incorrect', 'ide', 'comput', 'turn', 'regard', 'expery', 'observ', 'seg', 'micro', 'understand', 'cod', 'level', 'correct'])"
215,"studies finding strong associations,demographic background survey,commonly drawn due,guiding research question,previous research suggests,based museum exhibitions,identified racial groups,percentages reflect number,creating engineering curriculum,incorporates engineering curriculum,describe train crew,informal science experiences,improve science understanding,child assessment consisted,control group drew","thinking,critical,museum,art,regression,factor,spaces,models,separate,negative,sd,science,moment,connecting,codes",Revitalizing Japanese Lesson Study Through Shared Tools,,2016,"set(['cod', 'art', 'sep', 'spac', 'muse', 'regress', 'connect', 'mom', 'neg', 'crit', 'sci', 'model', 'think', 'fact', 'sd'])"
216,"early childhood family education,early childhood years offers,social learning processes involved sharing,dominant community members mentioned,school districts offer parents,structured interviews explored parents,social engagement platform designed,identified features characteristic,long term goals,supported building connections,feel judgment free,meaningful social entity,site wide forums,site wide postings,sensitizing concepts related","engagement,particles,embodied,embodiment,episodes,student,dimensions,water,classroom,movements,step,simulation,activities,behavioral,mixed",Supporting Teachers in Navigating Change Towards,"Embodiment, Engagement, Science, Technology",2018,"set(['classroom', 'partic', 'sci', 'eng', 'embod', 'dim', 'technolog', 'mov', 'behavy', 'mix', 'step', 'stud', 'act', 'episod', 'wat', 'sim'])"
217,"scientific thinking includes problem,22 primary school children participated,general cognitive skills,reached high inter,general cognitive abilities,primary school apply,primary school children,conducting scientific investigations,formulating research questions,primary school age,argumentation strategy referring,tautological reasoning strategies,kindergarten children 16 items,kindergarten children chose,categories “precise hint","design,novices,conceptual,function,software,diagram,participants,elements,cognitive,frequency,task,absence,event,novice,mental",Analyzing Patterns of Emerging Understanding and,"software, conceptual design, novices, function-structure-behaviour",2016,"set(['el', 'task', 'function-structure-behaviour', 'funct', 'ment', 'frequ', 'particip', 'conceptual design', 'diagram', 'conceptu', 'abs', 'design', 'softw', 'ev', 'cognit', 'nov'])"
218,"studies finding joint visual attention,group13 achieved higher learning gains,easily disambiguate vague utterances,successfully establish joint visual attention,middle figures show colored graphs,bottom figures show speech data,top figures show standard,highlight good design principles,tangible user interface designed,maintain joint visual attention,studying joint visual attention,uncover good design principles,“free rider effect” identified,unfilled cross recurrence graph,red dots show moments","transition,ngss,science,teachers,integrated,district,grade,plans,implementation,integration,teacher,challenges,cells,th grade,model",Measuring Awe and Critical Thinking in a Science Museum,,2016,"set(['th grade', 'cel', 'sci', 'district', 'transit', 'ngss', 'model', 'integr', 'teach', 'grad', 'challeng', 'impl', 'plan'])"
219,"teachers observe live classroom lessons,shared tools effectively support teachers,japanese learning sciences project,formed professional learning communities,lesson design study sheets,knowledge constructive jigsaw,making proposals based,scalable action research,based implementation research,shared tools embedded,sharing context enabled,japanese “lesson study”,promoting collaborative learning,groups gave summaries,enables lesson study","political,epistemic,media,issue,frames,virtual,games,participants,transfer,significant,simulation,action,skills,saw,young",Investigating Multiple Dimensions of Student Engagement with,,2018,"set(['epistem', 'med', 'virt', 'fram', 'particip', 'young', 'sign', 'issu', 'gam', 'skil', 'act', 'transf', 'saw', 'sim', 'polit'])"
220,"active roles teachers play,sixth grade science teachers,create effective learning environments,gordon spent similar amounts,teachers provided similar amounts,helping students learn science practices,gordon offered similar support,develop concrete teaching strategies,enacted curriculum focuses attention,gordon similarly engaged students,lloyd gave students time,discussed science practices involved,instances simply involved students “,teachers gave students opportunities,teach science practices showed","youth,equity,diversity,staff,orientations,color,setting,safe,organizations,organizational,dominant,orientation,political,cross,professional",Exploring Novice Approach to Conceptual Design of Software,,2018,"set(['set', 'domin', 'ory', 'cross', 'saf', 'profess', 'equit', 'div', 'org', 'you', 'polit', 'col', 'staff'])"
221,"selective girls high school,made ad hoc choices,computer supported collaborative learning conference,predictions typically fueled improved,misunderstanding propelling extended correct understanding,additional correct observations helped students,largest macro grain size,micro level idea category descriptions,delayed instruction learning sequence,improved subsequent experimental designs,features involves incorporating computer,parallel grain sizes fit,students asked closed questions,supported collaborative learning environments,selected dyads improved substantially","heart,engineering,experts,problem,blood,model,expert,mental,simulation,solving,motion,engineers,system,power,diagram",Transitioning to an Integrated Science Teaching Model:,"engineering estimation, expert study, technology-enhanced learning environment",2018,"set(['heart', 'engin', 'expert', 'ment', 'pow', 'system', 'mot', 'diagram', 'blood', 'solv', 'problem', 'model', 'sim'])"
222,"item likert measure designed,planned mixed method study,individual sas factor means,promoting ethical decision,central domed area,open park land,ascending numerical scale,ground floor entrances,likert survey data,visual thinking strategies,3 science themed images,promote critical thinking,measure critical thinking,critical thinking immediately,supporting science learning","overlap,indices,cohesion,source,rubric,sentence,text,synthesis,sources,information,document,local,topic,texts,textual",Exploring the Impact of Virtual Internships for Democratic and,"epistemic cognition, literacy education, writing analytics, learning analytics",2018,"set(['loc', 'sourc', 'text', 'top', 'synthes', 'overlap', 'docu', 'inform', 'rubr', 'ind', 'coh', 'sent'])"
