,ref,file,ref_parsed,year,identifier
1654,"Brinton, C. G., Chiang, M., Jain, S., Lam, H. K., Liu, Z., & Wong, F. M. F. (2014). Learning about social learning in MOOCs: From statistical analysis to generative model. IEEE Transactions, 7(4), 346-359.",import2016full/71,"Brinton, C. G., Chiang, M., Jain, S., Lam, H. K., Liu, Z., & Wong, F. M. F. (2014)",2014.0,"Brinton, C. G., Chiang, M., Jain, S., Lam, H. K., Liu, Z., & Wong, F. M. F. (2014). Learning about social learning in MOOCs: From statistical analysis to generative model"
1655,"Bryant, T. (2015, June 22). Bringing the social back to MOOCs. EDUCAUSE Review. [Online]",import2016full/71,"Bryant, T. (2015, June 22)",2015.0,"Bryant, T. (2015, June 22). Bringing the social back to MOOCs"
1656,"Cole, M. (1993). Remembering the future. In G. Harmon (Ed.) Conceptions of the human mind. Essays in honor of George A. Miller (pp. 247–265). New York: Psychology Press Engle, R. A., & Conant, F. R. (2002). Guiding principles for fostering productive disciplinary engagement: Explaining an emergent argument in a community of learner’s classroom. Cognition and Instruction, 20(4), 399-483.",import2016full/71,"Cole, M. (1993)",1993.0,"Cole, M. (1993). Remembering the future"
1657,"Gitomer, D. H., & Duschl, R. A. (1995). Moving toward a portfolio culture in science education. Learning science in the schools: Research reforming practice, 299-326.",import2016full/71,"Gitomer, D. H., & Duschl, R. A. (1995)",1995.0,"Gitomer, D. H., & Duschl, R. A. (1995). Moving toward a portfolio culture in science education"
1658,"Greeno, J. G., & Middle School Mathematics through Applications Project Group. (1998). The situativity of knowing, learning, and research. American Psychologist, 53(1), 5–26.",import2016full/71,"Greeno, J. G., & Middle School Mathematics through Applications Project Group. (1998)",1998.0,"Greeno, J. G., & Middle School Mathematics through Applications Project Group. (1998). The situativity of knowing, learning, and research"
1659,"Gresalfi, M., Barab, S., Siyahhan, S., & Christensen, T. (2009). Virtual worlds, conceptual understanding, and me: Designing for consequential engagement.On the Horizon, 17(1), 21-34. Håklev, S., Slotta, J. & Najafi, H. (2015, Oct). It Wouldn’t Be the Same without You: MOOC Design that Supports User-Contributed Content, Interaction and Teamwork. Columbia University: Learning with MOOCs II,",import2016full/71,"Gresalfi, M., Barab, S., Siyahhan, S., & Christensen, T. (2009)",2009.0,"Gresalfi, M., Barab, S., Siyahhan, S., & Christensen, T. (2009). Virtual worlds, conceptual understanding, and me: Designing for consequential engagement"
1660,"Habib, L., & Wittek, L. (2007). The portfolio as artifact and actor. Mind, Culture, and Activity, 14(4), 266-282.",import2016full/71,"Habib, L., & Wittek, L. (2007)",2007.0,"Habib, L., & Wittek, L. (2007). The portfolio as artifact and actor"
1661,"Hall, R., & Rubin, A. (1998). There’s five little notches in here: Dilemmas in teaching and learning the conventional structure of rate. Thinking practices in mathematics and science learning, 189-235.",import2016full/71,"Hall, R., & Rubin, A. (1998)",1998.0,"Hall, R., & Rubin, A. (1998). There’s five little notches in here: Dilemmas in teaching and learning the conventional structure of rate"
1662,"Hand, V., & Gresalfi, M. (2015). The joint accomplishment of identity. Educational Psychologist, 50, 190–203.",import2016full/71,"Hand, V., & Gresalfi, M. (2015)",2015.0,"Hand, V., & Gresalfi, M. (2015). The joint accomplishment of identity"
1663,"Harlen, W. (2007). Criteria for evaluating systems for student assessment. Studies in Educational Evaluation, 33(1), 15-28.",import2016full/71,"Harlen, W. (2007)",2007.0,"Harlen, W. (2007). Criteria for evaluating systems for student assessment"
1664,"Hickey, D. T. (2003). Engaged participation versus marginal nonparticipation: A stridently sociocultural approach to achievement motivation. The Elementary School Journal, 401-429.",import2016full/71,"Hickey, D. T. (2003)",2003.0,"Hickey, D. T. (2003). Engaged participation versus marginal nonparticipation: A stridently sociocultural approach to achievement motivation"
1665,"Hickey, D. T. (2015). A situative response to the conundrum of formative assessment. Assessment in Education: Principles, Policy & Practice, 22(2), 202-223.",import2016full/71,"Hickey, D. T. (2015)",2015.0,"Hickey, D. T. (2015). A situative response to the conundrum of formative assessment"
1666,"Hickey, D. T. & Jameson, E. (2012). Designing for participation in immersive educational videogames. In D. Ifenthaler, D. Eseryel, X. Ge (Eds.), Assessment in game-based learning: Foundations, innovations, and perspectives (pp. 401-430). New York: Springer Hickey, D. T., Kelly, T. A, & Shen, X. (2014). Small to big before massive: Scaling up participatory learning and assessment. Proceedings of the Fourth International Conference on Learning Analytics and Knowledge, Indianapolis, IN (pp. 93-97) http://dx.doi.org/10.1145/2567574.2567626).",import2016full/71,"Hickey, D. T. & Jameson, E. (2012)",2012.0,"Hickey, D. T. & Jameson, E. (2012). Designing for participation in immersive educational videogames"
1667,"Hickey, D. T., McWilliams, J. T., & Honeyford, M. A., (2011). Reading Moby-Dick in a participatory culture: Organizing assessment for engagement in a new media era. Journal of Educational Computing Research, 44 (4), 247-273",import2016full/71,"Hickey, D. T., McWilliams, J. T., & Honeyford, M. A., (2011)",2011.0,"Hickey, D. T., McWilliams, J. T., & Honeyford, M. A., (2011). Reading Moby-Dick in a participatory culture: Organizing assessment for engagement in a new media era"
1668,"Hickey, D. T., & Rehak, A. (2013). Wikifolios and participatory assessment for engagement, understanding, and achievement in online courses. Journal of Educational Media and Hypermedia, 22 (4), 229-263.",import2016full/71,"Hickey, D. T., & Rehak, A. (2013)",2013.0,"Hickey, D. T., & Rehak, A. (2013). Wikifolios and participatory assessment for engagement, understanding, and achievement in online courses"
1669,"Itow, R. C., & Hickey, D. T. (2015, April 20). Impacting online teacher practice, epistemic frames, and agency with design-based implementation research. Paper presented at the annual meeting of the American Educational Research Association, Chicago, IL.",import2016full/71,"Itow, R. C., & Hickey, D. T. (2015, April 20)",2015.0,"Itow, R. C., & Hickey, D. T. (2015, April 20). Impacting online teacher practice, epistemic frames, and agency with design-based implementation research"
1670,"Khalil, H., & Ebner, M. (2013). “How satisfied are you with your MOOC?” A research study on interaction in huge online courses. In World Conference on Educational Multimedia, Hypermedia and Telecommunications (Vol. 2013, pp. 830–839). Retrieved from http://www.editlib.org/p/112057/",import2016full/71,"Khalil, H., & Ebner, M. (2013)",2013.0,"Khalil, H., & Ebner, M. (2013). “How satisfied are you with your MOOC"
1671,"Kolowich, S. (2013, May 1). Faculty backlash grows against online partners. Chronicle of Higher Education.",import2016full/71,"Kolowich, S. (2013, May 1)",2013.0,"Kolowich, S. (2013, May 1). Faculty backlash grows against online partners"
1672,"Kulkarni, C. E., Socher, R., Bernstein, M. S., & Klemmer, S. R. (2014, March). Scaling short-answer grading by combining peer assessment with algorithmic scoring. In Proceedings of the first ACM conference on Learning@ scale conference (pp. 99-108). ACM.",import2016full/71,"Kulkarni, C. E., Socher, R., Bernstein, M. S., & Klemmer, S. R. (2014, March)",2014.0,"Kulkarni, C. E., Socher, R., Bernstein, M. S., & Klemmer, S. R. (2014, March). Scaling short-answer grading by combining peer assessment with algorithmic scoring"
1673,"Mackness, J., Mak, S., & Williams, R. (2010). The ideals and reality of participating in a MOOC. In Proceedings of the 7th International Conference on Networked Learning 2010, 266-275.",import2016full/71,"Mackness, J., Mak, S., & Williams, R. (2010)",2010.0,"Mackness, J., Mak, S., & Williams, R. (2010). The ideals and reality of participating in a MOOC"
1674,"Oremus, Will. (2013, February 3). Online class on how to teach online classes goes laughably awry. Slate. Parr, C. (2013. May 23). FutureLearn reveals big plans to deliver MOOCs on the move. Times Higher Education, 23, 9.",import2016full/71,"Oremus, Will. (2013, February 3)",2013.0,"Oremus, Will. (2013, February 3). Online class on how to teach online classes goes laughably awry"
1675,"Parr, C. (2014, November 13). Making MOOCs social is the next challenge. Time Higher Education.",import2016full/71,"Parr, C. (2014, November 13)",2014.0,"Parr, C. (2014, November 13). Making MOOCs social is the next challenge"
1676,"Ronaghi, F., Saberi, A., & Trumbore, A. (2014). NovoEd, a social learning environment. In Paul Kim (Ed.), Massive Open Online Courses: The MOOC Revolution (96-105). New York: Routledge.",import2016full/71,"Ronaghi, F., Saberi, A., & Trumbore, A. (2014)",2014.0,"Ronaghi, F., Saberi, A., & Trumbore, A. (2014). NovoEd, a social learning environment"
1677,"Rosé, C. P., Goldman, P., Zoltners Sherer, J., & Resnick, L. (2015). Supportive technologies for group discussion in MOOCs. Current Issues in Emerging eLearning, 2(1), 5-20.",import2016full/71,"Rosé, C. P., Goldman, P., Zoltners Sherer, J., & Resnick, L. (2015)",2015.0,"Rosé, C. P., Goldman, P., Zoltners Sherer, J., & Resnick, L. (2015). Supportive technologies for group discussion in MOOCs"
1678,"Uttamchandani, S. L., & Hickey, D. T. (2015, September 11). Calculus PLAnet: Promising first steps in participatory supplemental instruction in mathematics. Remediating Assessment Blog: http://remediatingassessment.blogspot.com/2015/09/calculus-planet-promising-first-step-in.html",import2016full/71,"Uttamchandani, S. L., & Hickey, D. T. (2015, September 11)",2015.0,"Uttamchandani, S. L., & Hickey, D. T. (2015, September 11). Calculus PLAnet: Promising first steps in participatory supplemental instruction in mathematics"
1679,"Azevedo, F. S. (2013). The tailored practice of hobbies and its implication for the design of interest-based learning environments. Journal of the Learning Sciences, 22(3), 462-510.",import2016full/76,"Azevedo, F. S. (2013)",2013.0,"Azevedo, F. S. (2013). The tailored practice of hobbies and its implication for the design of interest-based learning environments"
1680,"Cole, M. (1996). Cultural psychology: A once and future discipline. Cambridge, MA: Cambridge University Press.",import2016full/76,"Cole, M. (1996)",1996.0,"Cole, M. (1996). Cultural psychology: A once and future discipline"
1681,"Dickinson, T., & Dyer, A. (2008). The Backyard Astronomer’s Guide. Buffalo, NY: Firefly Books.",import2016full/76,"Dickinson, T., & Dyer, A. (2008)",2008.0,"Dickinson, T., & Dyer, A. (2008). The Backyard Astronomer’s Guide"
1682,"Engeström, Y. (1999). Activity theory and individual and social transformation. In Y. Engeström, R. Miettinen, and R. L. Punamaki (Eds.), Perspectives on activity theory (pp. 19-38). Cambridge, MA: Cambridge University Press.",import2016full/76,"Engeström, Y. (1999)",1999.0,"Engeström, Y. (1999). Activity theory and individual and social transformation"
1683,"Gibson, J. J. (1979). An ecological approach to visual perception. Boston, MA: Houghton Mifflin.",import2016full/76,"Gibson, J. J. (1979)",1979.0,"Gibson, J. J. (1979). An ecological approach to visual perception"
1684,"Goodwin, C. (1994). Professional Vision. American Anthropologist, 96(3), 606-633.",import2016full/76,"Goodwin, C. (1994)",1994.0,"Goodwin, C. (1994). Professional Vision"
1685,"Goodwin, C. (2000). Action and embodiment within situated human activity. Journal of Pragmatics, 32, 14891522.",import2016full/76,"Goodwin, C. (2000)",2000.0,"Goodwin, C. (2000). Action and embodiment within situated human activity"
1686,"Goodwin, C. (2003). Pointing as situated practice. In S. Kita (Ed.), Pointing: Where language, culture, and cognition meet, (pp. 217-241). Hillsdale, NJ: Lawrence Erlbaum Associates.",import2016full/76,"Goodwin, C. (2003)",2003.0,"Goodwin, C. (2003). Pointing as situated practice"
1687,"Goodwin, C. (2011). Building action in public environments with diverse semiotic resources. Versus, 112-113, 169-182.",import2016full/76,"Goodwin, C. (2011)",2011.0,"Goodwin, C. (2011). Building action in public environments with diverse semiotic resources"
1688,"Hall, R. (1996). Representation as shared activity: Situated cognition and Dewey’s cartography of experience. Journal of the Learning Sciences, 5(3), 209-238.",import2016full/76,"Hall, R. (1996)",1996.0,"Hall, R. (1996). Representation as shared activity: Situated cognition and Dewey’s cartography of experience"
1689,"Hall, R., & Nemirovsky, R. (2012). Introduction to the special issue: Modalities of body engagement in mathematical activity and learning, Journal of the Learning Sciences, 21(2), 207-215.",import2016full/76,"Hall, R., & Nemirovsky, R. (2012)",2012.0,"Hall, R., & Nemirovsky, R. (2012). Introduction to the special issue: Modalities of body engagement in mathematical activity and learning, Journal of the Learning Sciences, 21(2), 207-215"
1690,"Hall, R., & Stevens, R. (1995). Making space: A comparison of mathematical work in school and professional design practices. In S. L. Star (Ed.), The cultures of computing, (pp. 118-145). Oxford, UK: Blackwell Publishers.",import2016full/76,"Hall, R., & Stevens, R. (1995)",1995.0,"Hall, R., & Stevens, R. (1995). Making space: A comparison of mathematical work in school and professional design practices"
1691,"Hammersley, M. and Atkinson, P. (1995). Ethnography principles in practice. London: Routledge.",import2016full/76,"Hammersley, M. and Atkinson, P. (1995)",1995.0,"Hammersley, M. and Atkinson, P. (1995). Ethnography principles in practice"
1692,"Hutchins, E. (1995). Cognition in the wild. Cambridge, MA: MIT Press.",import2016full/76,"Hutchins, E. (1995)",1995.0,"Hutchins, E. (1995). Cognition in the wild"
1693,"Jordan, B., & Henderson, A. (1995). Interaction analysis: Foundations and practices. The Journal of the Learning Sciences, 4(10), 39-103.",import2016full/76,"Jordan, B., & Henderson, A. (1995)",1995.0,"Jordan, B., & Henderson, A. (1995). Interaction analysis: Foundations and practices"
1694,"Kita, S. (2000). How representational gestures help speaking. In D. McNeill (Ed.), Language and Gesture, (pp. 162–185). Cambridge, MA: Cambridge University Press.",import2016full/76,"Kita, S. (2000)",2000.0,"Kita, S. (2000). How representational gestures help speaking"
1695,"Latour, B. (1987). Science in action: How to follow scientists and engineers through society. Cambridge, MA: Harvard University Press.",import2016full/76,"Latour, B. (1987)",1987.0,"Latour, B. (1987). Science in action: How to follow scientists and engineers through society"
1696,"Lave, J. & Wenger, E. (1991). Situated learning: Legitimate peripheral participation. Cambridge, UK: Cambridge University Press.",import2016full/76,"Lave, J. & Wenger, E. (1991)",1991.0,"Lave, J. & Wenger, E. (1991). Situated learning: Legitimate peripheral participation"
1697,"Lynch, M., & Woolgar, S. (1990). Representation in Scientific Practice. Cambridge, MA: MIT Press.",import2016full/76,"Lynch, M., & Woolgar, S. (1990)",1990.0,"Lynch, M., & Woolgar, S. (1990). Representation in Scientific Practice"
1698,"Nemirovsky, R., Rasmussen, C., Sweeney, G, & Wawro, M. (2012). When the classroom floor becomes the complex plane: Addition and multiplication as ways of bodily navigation. Journal of the Learning Sciences, 21(2), 287-323.",import2016full/76,"Nemirovsky, R., Rasmussen, C., Sweeney, G, & Wawro, M. (2012)",2012.0,"Nemirovsky, R., Rasmussen, C., Sweeney, G, & Wawro, M. (2012). When the classroom floor becomes the complex plane: Addition and multiplication as ways of bodily navigation"
1699,"Roth, W.-M. (2000). Gestures: Their role in teaching and learning. Review of Educational Research, 71, 365–392.",import2016full/76,"Roth, W.-M. (2000)",2000.0,"Roth, W.-M. (2000). Gestures: Their role in teaching and learning"
1700,"Saxe, G. B. (1991). Culture and cognitive development: Studies in mathematical understanding. Hillsdale, NJ: Lawrence Erlbaum Associates.",import2016full/76,"Saxe, G. B. (1991)",1991.0,"Saxe, G. B. (1991). Culture and cognitive development: Studies in mathematical understanding"
1701,"Stevens, R. R. (2012). The missing bodies of mathematical thinking and learning have been found. Journal of the Learning Sciences, 21(2), 337-346.",import2016full/76,"Stevens, R. R. (2012)",2012.0,"Stevens, R. R. (2012). The missing bodies of mathematical thinking and learning have been found"
1702,"Stevens, R. R. (2000). Divisions of labor in school and in the workplace: Comparing computer and papersupported activities across setting. Journal of the Learning Sciences, 9(4), 373-401.",import2016full/76,"Stevens, R. R. (2000)",2000.0,"Stevens, R. R. (2000). Divisions of labor in school and in the workplace: Comparing computer and papersupported activities across setting"
1703,"Stevens, R., & Hall, R. (1998). Disciplined perception: Learning to see in techno-science. In M. Lampert and M. L. Blunk (Eds.), Talking mathematics in school: Studies of teaching and learning (pp. 107-149). New York, NY: Cambridge University Press.",import2016full/76,"Stevens, R., & Hall, R. (1998)",1998.0,"Stevens, R., & Hall, R. (1998). Disciplined perception: Learning to see in techno-science"
1704,"Arvaja, M., Salovaara, H., Häkkinen, P., & Järvelä, S. (2007). Combining individual and group-level perspectives for studying collaborative knowledge construction in context. Learning and Instruction, 17(4), 448-459.",import2016full/82,"Arvaja, M., Salovaara, H., Häkkinen, P., & Järvelä, S. (2007)",2007.0,"Arvaja, M., Salovaara, H., Häkkinen, P., & Järvelä, S. (2007). Combining individual and group-level perspectives for studying collaborative knowledge construction in context"
1705,"Bakhtin, M. (1986). Speech genres and other late essays. Trans. Vern W. McGee. University of Texas Press.",import2016full/82,"Bakhtin, M. (1986)",1986.0,"Bakhtin, M. (1986). Speech genres and other late essays"
1706,"Bransford, J. D., Brown, A. L., & Cocking, R. R. (1999). How people learn: Brain, mind, experience, and school. National Academy Press.",import2016full/82,"Bransford, J. D., Brown, A. L., & Cocking, R. R. (1999)",1999.0,"Bransford, J. D., Brown, A. L., & Cocking, R. R. (1999). How people learn: Brain, mind, experience, and school"
1707,"Chi, M. T., Feltovich, P. J., & Glaser, R. (1981). Categorization and representation of physics problems by experts and novices. Cognitive Science, 5(2), 121-152.",import2016full/82,"Chi, M. T., Feltovich, P. J., & Glaser, R. (1981)",1981.0,"Chi, M. T., Feltovich, P. J., & Glaser, R. (1981). Categorization and representation of physics problems by experts and novices"
1708,"Chesler, N. C., Ruis, A. R., Collier, W., Swiecki, Z., Arastoopour, G., & Shaffer, D. W. (2015). A novel paradigm for engineering education: Virtual internships with individualized mentoring and assessment of engineering thinking. Journal of biomechanical engineering, 137(2), 024701.",import2016full/82,"Chesler, N. C., Ruis, A. R., Collier, W., Swiecki, Z., Arastoopour, G., & Shaffer, D. W. (2015)",2015.0,"Chesler, N. C., Ruis, A. R., Collier, W., Swiecki, Z., Arastoopour, G., & Shaffer, D. W. (2015). A novel paradigm for engineering education: Virtual internships with individualized mentoring and assessment of engineering thinking"
1709,"Cress, U., & Hesse, F. W. (2013). Quantitative methods for studying small groups. In C. E. Hmelo-Silver, C. A. Chinn, C. K. K. Chan, and A. O’Donnell (Eds.), The international handbook of collaborative learning, (pp. 93-111). Routledge.",import2016full/82,"Cress, U., & Hesse, F. W. (2013)",2013.0,"Cress, U., & Hesse, F. W. (2013). Quantitative methods for studying small groups"
1710,"DiSessa, A. A. (1988). Knowledge in pieces. In G. Forman & P. Pufall (Eds.), Constructivism in the computer age (pp. 47-70). Lawrence Erlbaum Publishers.",import2016full/82,"DiSessa, A. A. (1988)",1988.0,"DiSessa, A. A. (1988). Knowledge in pieces"
1711,"Dyke, G., Kumar, R., Ai, H., & Rosé, C. P. (2012). Challenging assumptions: Using sliding window visualizations to reveal time-based irregularities in CSCL processes. In Proceedings of the 10th International Conference of the Learning Sciences (Vol. 1, pp. 363-370).",import2016full/82,"Dyke, G., Kumar, R., Ai, H., & Rosé, C. P. (2012)",2012.0,"Dyke, G., Kumar, R., Ai, H., & Rosé, C. P. (2012). Challenging assumptions: Using sliding window visualizations to reveal time-based irregularities in CSCL processes"
1712,"Gee, J. P. (1990). Social linguistics and literacies: Ideology in discourses. Falmer Press.",import2016full/82,"Gee, J. P. (1990)",1990.0,"Gee, J. P. (1990). Social linguistics and literacies: Ideology in discourses"
1713,"Gernsbacher, M. A. (1991). Cognitive processes and mechanisms in language comprehension: The structure building framework. In G. H. Bower (Ed.), The psychology of learning and motivation (pp. 217-263). Academic Press.",import2016full/82,"Gernsbacher, M. A. (1991)",1991.0,"Gernsbacher, M. A. (1991). Cognitive processes and mechanisms in language comprehension: The structure building framework"
1714,"Graesser, A. C., Gernsbacher, M. A., & Goldman, S.R. (1997). Cognition. In T. A. van Dijk (Ed.), Discourse: A multidisciplinary introduction (pp. 292-319). Sage.",import2016full/82,"Graesser, A. C., Gernsbacher, M. A., & Goldman, S.R. (1997)",1997.0,"Graesser, A. C., Gernsbacher, M. A., & Goldman, S.R. (1997). Cognition"
1715,"Hearst, M. A. (1994). Multi-paragraph segmentation of expository text. In Proceedings of the 32nd annual meeting on Association for Computational Linguistics (pp. 9-16). Association for Computational Linguistics.",import2016full/82,"Hearst, M. A. (1994)",1994.0,"Hearst, M. A. (1994). Multi-paragraph segmentation of expository text"
1716,"Hmelo-Silver, C. E., Liu, L., & Jordan, R. (2009). Visual Representation of a Multidimensional Coding Scheme for Understanding Technology-Mediated Learning about Complex Natural Systems. Research and Practice in Technology Enhanced Learning, 4(3), 253-280.",import2016full/82,"Hmelo-Silver, C. E., Liu, L., & Jordan, R. (2009)",2009.0,"Hmelo-Silver, C. E., Liu, L., & Jordan, R. (2009). Visual Representation of a Multidimensional Coding Scheme for Understanding Technology-Mediated Learning about Complex Natural Systems"
1717,"Rosé, C., Wang, Y. C., Cui, Y., Arguello, J., Stegmann, K., Weinberger, A., & Fischer, F. (2008). Analyzing collaborative learning processes automatically: Exploiting the advances of computational linguistics in computer-supported collaborative learning. International Journal of Computer-Supported Collaborative Learning, 3(3), 237-271.",import2016full/82,"Rosé, C., Wang, Y. C., Cui, Y., Arguello, J., Stegmann, K., Weinberger, A., & Fischer, F. (2008)",2008.0,"Rosé, C., Wang, Y. C., Cui, Y., Arguello, J., Stegmann, K., Weinberger, A., & Fischer, F. (2008). Analyzing collaborative learning processes automatically: Exploiting the advances of computational linguistics in computer-supported collaborative learning"
1718,"Shaffer, D. W. (2012). Models of situated action: Computer games and the problem of transfer. In C. Steinkuehler, K. Squire, S. Barab (Eds.), Games learning, and society: Learning and meaning in the digital age, (pp. 403-433). Cambridge University Press.",import2016full/82,"Shaffer, D. W. (2012)",2012.0,"Shaffer, D. W. (2012). Models of situated action: Computer games and the problem of transfer"
1719,"Shaffer, D. W. (2014). User guide for Epistemic Network Analysis web version 3.3. Madison, WI: Games and Professional Simulations Technical Report 2014-1.",import2016full/82,"Shaffer, D. W. (2014)",2014.0,"Shaffer, D. W. (2014). User guide for Epistemic Network Analysis web version 3"
1720,"Shaffer, D. W., & Arastoopour, G. (2014). Guide to RSdata.csv sample ENA data set. Madison, WI: Games and Professional Simulations Technical Report 2014-3",import2016full/82,"Shaffer, D. W., & Arastoopour, G. (2014)",2014.0,"Shaffer, D. W., & Arastoopour, G. (2014). Guide to RSdata"
1721,"Shaffer, D. W., Hatfield, D., Svarovsky, G., Nash, P., Nulty, A., Bagley, E. A., … Mislevy, R. J. (2009). Epistemic Network Analysis: A prototype for 21st century assessment of learning. The International Journal of Learning and Media, 1(1), 1-21.",import2016full/82,"Shaffer, D. W., Hatfield, D., Svarovsky, G., Nash, P., Nulty, A., Bagley, E. A., … Mislevy, R. J. (2009)",2009.0,"Shaffer, D. W., Hatfield, D., Svarovsky, G., Nash, P., Nulty, A., Bagley, E. A., … Mislevy, R. J. (2009). Epistemic Network Analysis: A prototype for 21st century assessment of learning"
1722,"Smagorinsky, P. (2012). Vygotsky and literacy research: A methodological framework (Vol. 2). Sense Publishers.",import2016full/82,"Smagorinsky, P. (2012)",2012.0,"Smagorinsky, P. (2012). Vygotsky and literacy research: A methodological framework (Vol"
1723,"Stahl, G., Koschmann, T., & Suthers, D. (2006). Computer-supported collaborative learning: An historical perspective. Cambridge handbook of the learning sciences, (pp. 409-426). Cambridge University Press.",import2016full/82,"Stahl, G., Koschmann, T., & Suthers, D. (2006)",2006.0,"Stahl, G., Koschmann, T., & Suthers, D. (2006). Computer-supported collaborative learning: An historical perspective"
1724,"Stahl, G. (2009). Studying virtual math teams. Springer Science and Business Media.",import2016full/82,"Stahl, G. (2009)",2009.0,"Stahl, G. (2009). Studying virtual math teams"
1725,"Suthers, D. D., & Desiato, C. (2012, January). Exposing chat features through analysis of uptake between contributions. In 45th Hawaii International Conference on System Science (pp. 3368-3377). IEEE.",import2016full/82,"Suthers, D. D., & Desiato, C. (2012, January)",2012.0,"Suthers, D. D., & Desiato, C. (2012, January). Exposing chat features through analysis of uptake between contributions"
1726,"Webb, N. M. (2009). The teacher's role in promoting collaborative dialogue in the classroom. British Journal of Educational Psychology, 79(1), 1-28.",import2016full/82,"Webb, N. M. (2009)",2009.0,"Webb, N. M. (2009). The teacher's role in promoting collaborative dialogue in the classroom"
1727,"Wells, G. (1999). Dialogic inquiry: Towards a sociocultural practice and theory of education. Cambridge, England: Cambridge University Press.",import2016full/82,"Wells, G. (1999)",1999.0,"Wells, G. (1999). Dialogic inquiry: Towards a sociocultural practice and theory of education"
1728,"Wenger, E. (1999). Communities of practice: Learning, meaning, and identity. Cambridge University Press.",import2016full/82,"Wenger, E. (1999)",1999.0,"Wenger, E. (1999). Communities of practice: Learning, meaning, and identity"
1729,"Chizhik, A. W. (2001). Equity and status in group collaboration: Learning through explanations depends on task characteristics. Social Psychology of Education, 5(2), 179-200.",import2016full/49,"Chizhik, A. W. (2001)",2001.0,"Chizhik, A. W. (2001). Equity and status in group collaboration: Learning through explanations depends on task characteristics"
1730,"Cole, K. A. (1995, October). Equity issues in computer-based collaboration: Looking beyond surface indicators. In The first international conference on Computer support for collaborative learning (pp. 67-74). L. Erlbaum Associates Inc..",import2016full/49,"Cole, K. A. (1995, October)",1995.0,"Cole, K. A. (1995, October). Equity issues in computer-based collaboration: Looking beyond surface indicators"
1731,"Dookie, L. (2014) A Case Study Examining the Microdynamics of Social Positioning within the Context of Collaborative Group Work. Proceedings of the 2014 Annual Conference of the Learning Sciences. Boulder, CO. Boulder, CO.",import2016full/49,"Dookie, L. (2014)",2014.0,"Dookie, L. (2014) A Case Study Examining the Microdynamics of Social Positioning within the Context of Collaborative Group Work"
1732,"Engle, R. A., Langer-Osuna, J. M., & McKinney de Royston, M. (2014). Toward a model of influence in persuasive discussions: Negotiating quality, authority, privilege, and access within a student-led argument. Journal of the Learning Sciences, 23(2), 245-268.",import2016full/49,"Engle, R. A., Langer-Osuna, J. M., & McKinney de Royston, M. (2014)",2014.0,"Engle, R. A., Langer-Osuna, J. M., & McKinney de Royston, M. (2014). Toward a model of influence in persuasive discussions: Negotiating quality, authority, privilege, and access within a student-led argument"
1733,"Esmonde, I. (2009). Mathematics learning in groups: Analyzing equity in two cooperative activity structures. Journal of the Learning Sciences , 18 (2), 247-284.",import2016full/49,"Esmonde, I. (2009)",2009.0,"Esmonde, I. (2009). Mathematics learning in groups: Analyzing equity in two cooperative activity structures"
1734,"Gonzales, a. L., Hancock, J. T., & Pennebaker, J. W. (2009). Language Style Matching as a Predictor of Social Dynamics in Small Groups. Communication Research, 37(1), 3–19.",import2016full/49,"Gonzales, a. L., Hancock, J. T., & Pennebaker, J. W. (2009)",2009.0,"Gonzales, a. L., Hancock, J. T., & Pennebaker, J. W. (2009). Language Style Matching as a Predictor of Social Dynamics in Small Groups"
1735,"Leander, K. M. (2002). Silencing in classroom interaction: Producing and relating social spaces. Discourse Processes, 34(2), 193-235.",import2016full/49,"Leander, K. M. (2002)",2002.0,"Leander, K. M. (2002). Silencing in classroom interaction: Producing and relating social spaces"
1736,"Lewis, C. M., & Shah, N. (2015, July). How Equity and Inequity Can Emerge in Pair Programming. In Proceedings of the eleventh annual International Conference on International Computing Education Research (pp. 41-50). ACM.",import2016full/49,"Lewis, C. M., & Shah, N. (2015, July)",2015.0,"Lewis, C. M., & Shah, N. (2015, July). How Equity and Inequity Can Emerge in Pair Programming"
1737,"Margolis, J., & Fisher, A. (2003). Unlocking the clubhouse: Women in computing. MIT press.",import2016full/49,"Margolis, J., & Fisher, A. (2003)",2003.0,"Margolis, J., & Fisher, A. (2003). Unlocking the clubhouse: Women in computing"
1738,"Margolis, J., Estrella, R., Goode, J., Holme, J. J., & Nao, K. (2010). Stuck in the shallow end: Education, race, and computing. MIT Press.",import2016full/49,"Margolis, J., Estrella, R., Goode, J., Holme, J. J., & Nao, K. (2010)",2010.0,"Margolis, J., Estrella, R., Goode, J., Holme, J. J., & Nao, K. (2010). Stuck in the shallow end: Education, race, and computing"
1739,"Michaels, S., O’Connor, C., & Resnick, L. B. (2008). Deliberative discourse idealized and realized: Accountable talk in the classroom and in civic life. Studies in philosophy and education, 27(4), 283-297.",import2016full/49,"Michaels, S., O’Connor, C., & Resnick, L. B. (2008)",2008.0,"Michaels, S., O’Connor, C., & Resnick, L. B. (2008). Deliberative discourse idealized and realized: Accountable talk in the classroom and in civic life"
